cycle_id,total_seed,size,weight,harvested,SR
17736,277550,54.8,108.22,5930.455999999999,2.1367162673392177
15503,182172,188.19,190.67,35882.1873,19.696872900335947
15503,182172,188.19,18.69,3517.2711000000004,1.9307418812989925
4045,227526,66.0,647.49,42734.340000000004,18.78217874001213
4045,227526,104.0,138.38,14391.52,6.325219974860016
4045,227526,52.0,620.29,32255.079999999998,14.176436978631013
4045,227526,88.0,96.48,8490.24,3.7315471638406157
4045,227526,66.0,114.16,7534.5599999999995,3.3115160465177604
4045,227526,42.0,575.17,24157.14,10.617309670103637
4045,227526,40.0,582.43,23297.199999999997,10.239357260269156
4045,227526,72.0,82.24,5921.28,2.6024630152158434
4045,227526,41.0,770.37,31585.170000000002,13.88200469396904
4045,227526,67.0,154.37,10342.79,4.545761803046685
12436,37000,250.0,225.0,56250.0,152.02702702702703
18230,223520,62.33,762.1,47501.693,21.251652201145312
18230,223520,106.0,41.3,4377.799999999999,1.958571939871152
18230,223520,44.59,843.05,37591.599500000004,16.818002639584826
18230,223520,65.0,44.1,2866.5,1.2824355762347888
18230,223520,37.25,843.9,31435.274999999998,14.063741499642088
18230,223520,54.0,53.35,2880.9,1.2888779527559056
24949,67000,60.0,150.0,9000.0,13.432835820895523
24949,67000,40.0,385.0,15400.0,22.98507462686567
15488,110000,290.0,105.0,30450.0,27.68181818181818
15488,110000,215.0,203.56,43765.4,39.786727272727276
11545,70000,114.0,150.0,17100.0,24.428571428571427
11545,70000,55.0,271.0,14905.0,21.292857142857144
12325,90000,205.0,276.36,56653.8,62.948666666666675
16398,40000,200.0,105.5,21100.0,52.75
18761,90000,36.0,1500.0,54000.0,60.0
15217,2543,100.0,0.59,59.0,2.320094376720409
18395,250000,52.0,1100.0,57200.0,22.88
23979,222848,254.0,219.22,55681.88,24.986484060884546
23979,222848,130.0,170.81,22205.3,9.96432545950603
23979,222848,118.0,1063.65,125510.70000000001,56.32121446008041
23979,222848,300.0,71.54,21462.000000000004,9.630779724296383
23979,222848,114.0,642.94,73295.16,32.89020318782309
23979,222848,280.0,179.71,50318.8,22.57987507179782
23979,222848,254.0,219.22,55681.88,24.986484060884546
23979,222848,130.0,170.81,22205.3,9.96432545950603
23979,222848,118.0,1063.65,125510.70000000001,56.32121446008041
23979,222848,300.0,71.54,21462.000000000004,9.630779724296383
23979,222848,114.0,642.94,73295.16,32.89020318782309
23979,222848,280.0,179.71,50318.8,22.57987507179782
15491,194122,101.64,293.72,29853.700800000002,15.37883434129053
15491,194122,101.64,12.12,1231.8768,0.6345889698231009
4038,350000,170.0,82.68,14055.6,4.015885714285714
4038,350000,121.0,302.2,36566.2,10.447485714285714
4038,350000,88.0,367.54,32343.52,9.241005714285714
4038,350000,68.0,425.48,28932.64,8.266468571428572
4038,350000,55.0,5311.92,292155.6,83.47302857142857
4038,350000,32.0,32.04,1025.28,0.29293714285714284
16800,75000,54.0,400.0,21600.0,28.799999999999997
16800,75000,70.0,100.0,7000.0,9.333333333333334
27167,184722,119.0,987.88,117557.72,63.640346033498986
27167,184722,180.0,65.46,11782.8,6.378666320200084
24087,331470,81.95,748.38,61329.741,18.50235043895375
24087,331470,165.0,8.78,1448.6999999999998,0.43705312697981713
24087,331470,52.05,3029.56,157688.598,47.57250972938728
24087,331470,105.0,21.98,2307.9,0.6962621051678886
24087,331470,66.0,52.76,3482.16,1.050520409086795
